Nitrogen,Phosphorous,Potassium,Temparature,Humidity,Ph,Moisture,rainfall,Crop Type
44,1,0,34.5,63.22,7.369308266,50.73,847.5592115,Ground Nuts
14,13,0,30.33,44.11,8.469562688,26.82,931.0960913,Ground Nuts
10,24,9,30.93,67.78,6.838548019,70,588.3485692,Ground Nuts
9,10,11,28.35,53.72,7.568168286,56.15,838.0270309,Ground Nuts
9,35,1,36.53,60.86,6.501765984,45.04,752.9738008,Ground Nuts
10,31,8,33.84,78.28,6.161374402,54.01,885.0952708,Ground Nuts
14,8,18,33.3,68.18,5.886001591,47.51,526.1215508,Ground Nuts
37,4,0,23.43,54.88,6.791007495,29.61,845.9070332,Ground Nuts
10,45,0,27.07,58.87,6.08674029,54.62,621.2278676,Ground Nuts
12,24,5,29.9,53.17,6.67516314,58.98,998.7815575,Ground Nuts
7,29,4,33.34,73.86,6.885131924,48,869.2286236,Ground Nuts
21,22,4,37.17,70.91,4.779036344,67.53,903.936999,Ground Nuts
1,14,14,28.83,59.74,7.238549953,35.13,567.7892824,Ground Nuts
13,36,0,31.81,70.13,5.90341023,21.18,848.0426711,Ground Nuts
11,15,0,26.25,63.56,7.174057365,28.04,560.9016513,Ground Nuts
11,14,11,27.8,66.49,7.300220346,56.09,615.6283332,Ground Nuts
13,16,18,33.07,56.67,5.670385564,54.06,602.3875161,Ground Nuts
33,0,0,28.83,59.28,4.813468602,49.24,963.3180932,Ground Nuts
38,0,0,26.27,55.86,6.88840521,36.93,523.7944714,Ground Nuts
10,35,0,30.28,76.59,6.186855415,30.6,926.4258873,Ground Nuts
12,11,11,30.49,58.21,6.908213795,39.3,815.9253644,Ground Nuts
39,0,0,26.01,41.55,8.354300666,61.19,633.9816213,Ground Nuts
42,0,1,29.18,54.17,5.476877602,23.3,525.4753532,Ground Nuts
8,14,15,29.8,60.5,5.728338009,33.18,669.7373512,Ground Nuts
3,27,7,31.52,67.58,5.006049596,32.04,863.3545194,Ground Nuts
11,40,4,37.68,71.36,5.729688281,32.07,862.1971105,Ground Nuts
15,40,0,40,75.55,7.739756852,28.97,912.0581312,Ground Nuts
13,35,0,25.37,51.4,5.761725001,67.69,900.3558859,Ground Nuts
18,23,0,31.36,66.66,6.302144136,46.26,521.6760897,Ground Nuts
12,35,4,38.27,63.65,5.529575249,41.45,505.1416293,Ground Nuts
38,4,1,32.97,61.72,5.31649581,42.69,653.4818274,Ground Nuts
14,21,17,36.48,66.57,6.775455489,54.5,913.3303856,Ground Nuts
9,22,11,25.06,58.7,5.201821216,42.9,521.8280543,Ground Nuts
8,15,2,36.24,55.86,4.644534284,52.22,912.4929988,Ground Nuts
35,1,0,28.72,42.07,6.162700942,47.05,527.463794,Maize
5,26,10,30.1,62.4,6.457664271,52.64,776.3327667,Maize
24,18,0,26.18,52.68,6.859793713,52.49,663.5797911,Maize
9,33,11,24.05,63.35,6.912936043,53.76,762.9389356,Maize
10,13,13,20.25,57.16,6.497981842,58.47,609.2986682,Maize
20,31,1,31.43,58.06,5.83263034,40.83,720.1167046,Maize
12,38,0,36.85,64.33,5.76084274,49.71,564.6237313,Maize
24,15,4,29.12,54.86,7.135240316,42.44,588.587088,Maize
5,20,20,37.21,74.62,5.917565374,54.03,711.2246238,Maize
24,19,2,32.71,58.03,5.585222818,46.16,644.0557473,Maize
10,10,6,21.51,50.09,5.628674716,32.94,717.4156082,Maize
7,36,0,28.32,57.91,5.891413134,50.54,545.1594807,Maize
8,31,5,32.95,47.94,5.929907928,29.06,602.3362648,Maize
38,4,0,31.06,59.13,6.143687364,25.08,594.9339935,Maize
10,27,6,37.45,68.76,6.717040114,43.94,709.4259277,Maize
8,10,0,31,66.62,7.361646604,40.41,545.3661467,Maize
9,16,11,25.05,44.34,6.178163314,25.92,603.1666305,Maize
25,15,2,21.26,57.97,6.156044856,22.22,575.0766238,Maize
22,27,0,32.42,61.41,7.216507148,50.99,592.8661238,Maize
9,18,2,23.11,55.69,5.353646383,59.61,762.3694641,Maize
14,35,2,28.04,63.25,8.170537458,67.45,789.8283716,Maize
17,6,1,31.6,59.09,8.231088034,53.55,717.8137086,Maize
26,17,0,29.9,68.09,6.541416114,59.57,685.8426598,Maize
40,3,0,30.79,55.86,6.756239513,51.44,603.9262667,Maize
18,8,11,25.06,57.65,6.048417681,23.39,601.5787429,Maize
7,14,2,29.46,52.15,5.81749684,55.43,598.2643245,Maize
38,0,0,30.23,51.35,7.94087027,46.67,617.816222,Maize
12,29,7,31.6,67.29,6.676686962,67.06,606.5011851,Maize
41,2,0,31.8,58.18,6.354638101,56.23,742.9924512,Maize
18,37,0,28.88,61.25,6.198554143,55.41,589.6023028,Maize
39,3,3,27.77,60.44,6.27851621,28.67,549.8115169,Maize
9,31,12,33.1,74.93,5.561335844,42.35,645.5191657,Maize
3,32,7,30.64,63.54,5.625025328,56.5,714.9485844,Maize
9,11,0,33.23,54.63,6.02584393,32.08,751.3122446,Maize
33,3,2,29.03,60.03,6.781820217,35.31,650.8691798,Maize
10,11,13,21.84,58.79,6.038418741,53.97,503.6526321,Maize
9,6,0,25.75,44.84,7.519021801,61.62,666.7428261,Maize
7,19,3,22.94,62.54,6.206664118,60.3,743.1697977,Maize
39,0,0,34.94,62.17,5.910350115,41.64,638.7977532,Maize
14,11,9,24.56,57.17,7.021926788,20,625.900489,Maize
16,11,11,28.66,59.28,6.49108476,48.06,796.8131246,Maize
22,22,1,30.99,56.13,7.838995659,38.39,510.4436067,Maize
12,38,4,30.1,76.55,6.701929031,35.94,645.0889018,Maize
41,2,4,27.99,45.61,5.547312013,37.12,768.7124771,Maize
12,40,1,31.42,63.91,7.155841907,37.37,555.5359173,Maize
16,34,0,32.4,60.04,5.14042772,70,506.6497476,Maize
7,15,17,38.44,55.47,6.542064213,52.25,779.3750449,Maize
14,17,17,39.71,58.79,5.900470777,49.81,554.4657153,Maize
10,37,0,29,66.29,6.696672253,61.94,624.2398897,Maize
14,7,12,31.52,61.75,8.065181966,49.9,768.1674267,Maize
17,12,3,31.23,44.6,5.774208378,25.08,547.8205888,Maize
19,34,0,27.17,66.27,5.641208754,40.8,651.804921,Maize
6,19,15,27.1,62.84,7.328899659,62.37,716.552389,Maize
14,31,0,36.23,62.8,6.535588847,42.68,771.0030397,Maize
38,0,1,31.8,57.24,6.145857631,24,668.7035245,Maize
16,17,0,23.91,44.08,6.021195207,34.26,787.4080586,Maize
11,15,16,33.39,63.67,7.099685546,59.26,630.1810467,Maize
15,14,21,34.63,66.78,6.334739508,45.11,581.9805156,Maize
24,17,0,29.68,66.64,5.901473249,52.87,651.0431219,Maize
40,2,3,28.04,57.31,5.774157255,37.69,767.7200846,Maize
38,1,1,22.28,40.57,7.287361206,65.74,772.2582042,Maize
24,22,0,27.37,53.95,6.599042557,42.58,516.9040375,Maize
25,18,4,28.63,51.26,7.036713992,41.71,620.6813454,Maize
10,38,4,28.59,68.53,6.076657963,38.94,717.4002864,Maize
36,0,4,33.19,72.33,6.506130613,65.98,617.0186263,Maize
12,18,11,27.56,51.96,5.800946322,40.99,584.4656507,Maize
25,22,2,27.63,45.29,6.069929308,45.88,794.5396181,Maize
19,14,18,28.7,50.97,6.041985508,22.32,765.6294712,Maize
26,16,1,33.04,65.19,6.155714108,50.69,514.9301031,Maize
10,40,0,25.58,56.58,5.24425153,54.54,600.4726883,Maize
8,21,17,31.74,63.6,6.07016387,38.22,615.3295176,Maize
36,0,0,32.36,54.03,5.619176144,43.93,570.3955527,Maize
14,32,3,35.36,60.71,4.832547738,43.64,729.4680424,Maize
12,16,10,31.84,69.56,5.906476194,69.24,758.3107781,Maize
39,0,0,31.73,67.18,6.76572506,35.49,669.3851681,Maize
24,22,0,24.07,66.32,6.631452636,34.51,694.2345646,Maize
11,10,0,31.02,66.2,5.74154833,60.1,663.531626,Maize
7,15,9,31.78,74.98,5.615304402,58.44,675.7491496,Maize
26,19,2,23.17,50.72,5.996789303,53.22,578.1583687,Maize
40,3,4,28.38,67.05,7.148942694,48.86,544.0785724,Maize
23,24,4,29.27,66.78,7.488610932,50.96,734.0124794,Maize
16,38,1,30.5,52.65,6.170843699,63.66,555.2518239,Maize
5,13,10,31.48,53.13,6.359475928,56.5,560.5891832,Maize
6,25,5,36.12,64.07,5.584654449,33.97,760.4736733,Maize
26,20,2,34.42,59.76,6.141959973,42.39,683.74085,Maize
4,12,19,29.62,68.68,6.823723804,36.49,651.6769526,Maize
39,3,2,31.26,53.46,5.287766104,60.24,585.5865009,Maize
6,32,10,31.79,64.7,6.15477469,58.61,503.7685608,Maize
11,8,2,36.18,59.14,5.62411419,62.07,506.2132321,Maize
33,0,3,30.17,61.17,7.206869102,53.11,666.5929521,Maize
8,5,0,25.29,58.68,6.828205841,47.03,597.0913463,Maize
19,23,2,25.63,43.51,7.025711546,39.59,646.5835918,Maize
34,3,4,23.28,56.67,6.546849585,68.46,564.8303079,Maize
13,9,0,36.28,59.06,8.227928998,26.66,620.8892079,Maize
9,12,0,32.33,55.31,6.069319994,47.97,750.0604938,Maize
9,12,0,30.43,50.53,8.247771105,39.32,522.8138615,Maize
7,32,10,32.53,58.37,6.153336995,39.02,557.2370332,Maize
21,18,0,28.77,46.44,4.714708298,53.68,618.6088631,Maize
12,30,3,30.17,60.47,5.519230816,32.13,719.4947768,Maize
13,18,14,29.55,69.77,6.560455602,43.55,580.414914,Maize
10,36,3,33.49,63.22,6.93300611,25.31,605.1916248,Maize
15,11,3,27.5,46.3,5.999156145,38.5,709.0091481,Maize
27,16,0,37.57,64.34,6.803049551,38.29,523.7367811,Maize
16,14,11,26.56,65.45,5.519512798,48.14,699.8106775,Maize
20,18,0,24.05,46.54,8.27435649,42.61,635.5190694,Maize
10,34,2,30.17,53.45,7.139129694,51.01,526.5532539,Maize
11,5,0,25.82,44.19,6.104172135,69.01,717.2424603,Maize
12,32,6,30.95,54.47,6.317770252,55.47,545.9226613,Maize
8,19,8,24.9,48.01,7.312311834,55.16,523.2405878,Maize
42,0,0,27.24,70.93,5.946163889,28.75,707.1273941,Maize
9,45,1,25.87,44.22,6.791657976,38.29,703.6066793,Maize
25,18,2,34.34,59.47,7.022714742,35.55,707.8928102,Maize
35,0,0,30.72,52.17,6.784572301,46.14,505.7544167,Maize
10,31,7,36.1,63.8,6.289074383,38.39,524.4980528,Maize
9,14,16,32.86,67.54,5.957857332,58.78,682.6496278,Maize
10,18,15,33.02,55.73,4.654408995,60.55,754.2177286,Maize
10,20,20,33.79,68.09,5.217599191,43.83,508.7926391,Maize
15,12,12,31.23,56.4,6.614199782,57.12,503.426799,Maize
42,1,0,25.47,58.41,6.583110126,26.01,598.1716966,Maize
6,26,12,27.29,59.32,6.934362421,68.93,773.1880282,Maize
35,0,0,22.06,52.67,6.231859296,39.56,584.2931018,Maize
11,29,11,27.06,57.03,6.329249557,60.52,698.6119779,Maize
11,33,8,30.95,58.67,6.712683813,49.62,638.4221818,Maize
25,21,0,22.63,51.01,7.307775692,51.05,714.6031395,Maize
6,23,12,38.41,68.47,6.25842923,56.4,548.6398629,Maize
25,20,0,32.83,63.93,6.275020213,34.94,780.0086319,Maize
24,24,0,34.06,66.03,6.419807417,26.03,663.3822285,Maize
38,1,0,26.22,62.62,6.020935049,25.5,680.6627418,Maize
11,14,17,29.93,59.13,6.409703449,61.65,545.1459401,Maize
39,0,0,30.02,66.59,6.75142247,44.84,545.239407,Maize
16,8,0,33.45,58.88,6.693153645,44.67,709.4422191,Maize
8,15,0,33.62,72.93,5.577584896,27.1,548.1937419,Maize
7,13,4,27.95,53.87,6.696013402,46.04,602.9413152,Maize
9,18,17,39.18,73.57,6.89181355,58.33,676.3865644,Maize
11,17,16,40,63.42,6.601655805,58.35,537.8792024,Maize
10,29,9,37.04,63.65,6.959098737,37.66,561.0373186,Maize
42,0,0,34.31,57.72,5.765119537,46.52,530.1465034,Maize
33,4,1,32.94,51.34,6.922185866,51.7,782.771239,Maize
37,0,0,28.62,51.19,6.887999784,33.7,650.4579784,Maize
12,31,2,28.46,63.35,4.6123886,51.28,729.6898218,Maize
38,0,2,34.96,55.78,6.416501529,24.64,724.0214141,Maize
38,4,4,40,75.29,4.669726808,59.96,598.4220461,Maize
10,20,13,26.29,59.73,8.461780988,44.01,798.4579481,Maize
5,25,9,27.3,49.58,5.699044097,30.5,790.7929306,Maize
37,0,0,28.12,58.63,6.373854112,70,793.7123171,Maize
11,33,11,26.11,62.81,7.736657575,52.46,521.3371201,Maize
5,31,4,31.68,68.95,5.840802921,50.54,525.8805878,Maize
6,10,4,26.34,51.73,6.201048038,64.26,529.6276997,Maize
20,18,4,29.51,53.95,6.132872605,38.65,548.8409504,Maize
39,0,0,36.97,62.88,5.828402069,35.83,673.2688433,Maize
9,13,9,37.09,64.38,8.34660477,48.85,619.2263068,Maize
18,36,0,34.54,66.58,6.419814096,57.85,651.4351564,Maize
17,12,3,38.93,73.79,6.872962229,39.95,724.9721044,Maize
13,17,0,22.64,48.24,5.433069273,38.55,509.7155207,Maize
37,0,0,25.95,57.37,6.064329933,31.82,726.6423497,Maize
11,38,3,36.42,76.31,7.141552689,27.13,724.4919077,Maize
36,0,1,31.83,65.84,5.537156095,45.46,765.8890949,Maize
5,33,3,27.4,59.45,7.224005513,64.61,680.4966198,Maize
10,5,1,35.21,54.52,5.878448966,33.97,659.9987479,Maize
14,12,0,22.18,60.13,7.271786584,31.3,559.1050294,Maize
13,37,0,40,61,5.836559807,41.55,567.4006665,Maize
23,25,0,30.59,60.6,7.164202236,24.53,515.2412321,Maize
16,33,0,34.53,58.81,6.022317038,26.06,724.7394447,Maize
11,30,6,39.16,72.53,6.472723207,36.73,729.3078055,Maize
10,11,0,31.69,53.43,5.684145594,54.42,782.5870856,Maize
6,27,9,32.92,58.25,5.633738724,66.52,555.6835551,Maize
13,39,4,37.61,60.04,6.086445184,49.05,686.0335641,Maize
36,0,0,29.6,54.82,6.21879038,64.66,622.571401,Maize
24,23,0,33.42,61.58,5.688504591,56.87,783.6984969,Maize
5,19,21,29.88,58.26,6.491405973,34.56,574.1119136,Maize
35,4,4,27.59,60.38,6.292427175,29.02,790.8160746,Maize
6,11,22,25.33,50.43,5.326767907,55.18,647.1763265,Maize
11,7,13,30.33,66.06,6.856597782,44.53,668.1907106,Maize
21,19,0,24.2,49.32,5.488096117,38.13,629.7102023,Maize
16,16,13,29.19,57.91,8.406852774,29.68,624.0897008,Maize
13,28,8,32.64,56.9,5.953229009,51.27,501.0741854,Maize
9,6,0,26.53,50.82,7.989290373,58.73,716.6809493,Maize
35,2,3,34.81,72.24,5.855570599,37.11,706.5415795,Maize
36,0,4,35.16,53.95,6.037783587,31.14,589.138556,Maize
9,21,22,31.42,61.64,6.299965497,53.25,523.94226,Maize
4,27,7,33.48,65.81,6.713961463,38.6,791.2240694,Maize
24,21,1,30.44,56.94,6.433098836,36.23,588.6763755,Maize
8,11,22,22.88,50.27,4.776317446,31.25,689.8406959,Maize
12,15,0,25.23,44.95,5.617855504,23.32,598.3743559,Maize
42,0,1,34.98,65.83,6.431076427,33.5,525.7906355,Maize
35,0,0,30.04,56.4,4.881781932,48.79,615.0737527,Maize
15,43,1,37.64,61.51,7.414842372,27.73,527.8037606,Maize
4,29,11,37.89,65.59,7.706825047,59.98,769.7997779,Maize
32,4,2,28.77,60.04,6.673380694,35.99,636.0536111,Maize
4,22,14,28.88,54.81,6.875755429,33.23,654.0109257,Maize
16,40,0,29.82,52.4,6.151317524,40.42,564.84208,Maize
15,42,0,32.76,64.78,6.27944616,54.27,790.9179585,Maize
20,19,1,27.1,57.17,6.386348142,39.17,747.411906,Maize
35,1,0,24.11,43.34,6.266201016,38.58,731.6519493,Maize
38,0,2,36.41,65.44,5.559514438,34.56,581.942128,Maize
10,13,0,27.26,47.32,5.729248643,67.89,604.0398286,Maize
9,15,0,28.03,64.04,7.157497604,30.17,751.587964,Maize
10,8,19,34.2,66.08,6.584789249,42.67,506.6622554,Maize
7,10,4,27.49,67.39,6.744861648,29.17,793.2515211,Maize
11,12,8,30.27,58.16,6.818331467,31.73,766.2483019,Maize
17,32,0,32.47,62.87,6.798089623,51.2,525.4108019,Maize
37,0,0,26.95,66.15,6.658085568,29.7,605.2699475,Maize
10,6,0,26.12,56.29,6.021354835,67,600.6215013,Maize
10,11,4,22.54,58.92,6.270379068,51.76,648.998483,Maize
19,23,1,25.05,49.33,6.761672757,48.69,772.7814443,Maize
25,15,0,25.99,51.27,6.780169748,38.05,721.9363121,Maize
13,16,15,29.61,61.46,5.770528919,58.05,736.6370716,Maize
2,18,20,25.07,45.11,5.506566918,36.38,685.7404293,Maize
40,1,0,30.5,44.64,7.139059135,38.98,589.7577123,Maize
9,42,3,39.13,73.24,6.12673634,41.33,618.3276219,Maize
2,27,8,30.71,56.3,7.798372243,70,663.2786876,Maize
8,5,0,27.38,57.61,5.955500987,57.88,545.6211193,Maize
14,40,0,39.26,60.36,7.283672102,29.14,737.5029976,Maize
39,0,0,28.67,46.65,5.94957923,41.01,555.0043583,Maize
17,23,4,34.71,60.07,4.879460653,27.77,625.3770791,Maize
10,28,4,29.45,60,6.26870658,64.63,594.3968935,Maize
12,13,0,26.46,43.65,7.809520617,36.14,653.8182524,Maize
16,17,4,40,71.27,5.883912623,25.24,525.8981727,Maize
24,20,0,27.37,52.05,6.043866971,37.96,619.8444345,Maize
14,39,3,39.4,75.28,6.773693053,52.3,728.4391919,Maize
14,33,10,30.22,56.38,6.287475999,60.39,642.7061127,Maize
19,18,0,31.7,56.91,7.510808085,48.75,581.5871271,Maize
9,16,1,27.1,58.81,5.313710961,28.94,645.5024996,Maize
15,10,16,25.14,49.84,7.130218801,20,573.5283276,Maize
38,0,0,32.67,56.77,5.542496021,40.22,697.1798243,Maize
36,0,0,40,78.33,7.595086342,45.34,598.3825513,Maize
15,39,3,31.95,59.95,6.645620312,41.17,648.1813019,Maize
34,0,0,30.54,67.81,6.006717305,51.69,765.3189845,Maize
8,5,1,24.77,53.31,5.035801913,26.82,746.0526537,Maize
13,34,4,36.09,74.92,6.513171016,37.36,529.3723481,Maize
22,14,0,31.99,66.28,5.633309278,51.34,641.8159463,Maize
18,18,2,32.58,58.58,6.291702195,34.16,783.3304195,Maize
18,39,2,30.81,63.77,5.984185178,70,648.2746387,Maize
10,19,16,28.74,60.87,6.997546438,37.06,623.23954,Maize
7,36,0,32.26,54.9,5.355094028,62.24,798.8247785,Maize
15,40,0,27.38,53.83,6.025585912,55.09,511.05017,Maize
14,34,0,38.84,61.78,6.277980157,60.96,561.0453084,Maize
9,16,17,27.19,59.49,6.998050306,56.18,559.1814476,Maize
15,36,2,28.53,62.54,6.815957993,61.11,747.9607815,Maize
14,10,9,35.69,58.61,6.52319954,58.14,749.2813371,Maize
12,18,8,34.34,68.17,6.697020027,58.41,714.9610637,Maize
26,25,0,32.95,64.98,5.8739238,33.74,739.2946876,Maize
7,18,1,26.73,63.35,5.565151315,28.54,695.9209572,Maize
12,22,12,25.64,56.54,5.914270496,49.67,650.1010922,Maize
23,22,4,26.74,56.43,6.17310484,41.86,697.357218,Maize
16,15,1,26.11,44.04,7.019332049,20.63,756.1010681,Maize
23,20,0,32.33,62.09,5.91028717,28.28,605.8694565,Maize
26,20,4,30.44,67.97,5.676873395,37.89,747.8805805,Maize
38,0,2,26.91,59.1,6.756143398,36.25,724.5179761,Maize
35,1,3,23.98,48.21,6.645567347,35.49,689.711308,Maize
19,44,0,40,52.02,5.774404926,45.67,716.3903611,Maize
9,29,13,28.54,52.41,6.464330346,56.61,604.6590827,Maize
44,4,4,34.33,69.34,6.335728796,32.53,698.8198016,Maize
44,0,1,31.16,52.39,6.200859827,22.68,699.0845341,Maize
2,18,14,26.67,42.74,6.195495573,30.17,743.6722827,Maize
35,0,1,27.61,59.67,5.51996617,27.04,732.1910581,Maize
13,36,2,37.81,73.97,8.199960161,40.95,772.6945061,Maize
23,19,0,26.67,56.31,6.125860889,37.51,654.9937729,Maize
25,25,3,29.73,55.37,6.191859449,43.18,725.2551423,Maize
5,21,15,35.97,56.77,7.741307861,47.57,547.8350523,Maize
10,18,16,28.93,70.5,7.995791659,64.49,718.9074592,Maize
39,4,1,32.02,63.85,6.009121805,28.71,775.7062482,Maize
18,23,0,33.83,56.31,4.899076452,25.41,600.1744936,Maize
7,13,16,26.6,59.53,7.354559063,54.76,710.0535302,Maize
14,5,0,26.52,49.31,6.788506964,24.53,724.6736629,Maize
5,23,6,37.73,78.44,7.379157739,43.81,519.4184773,Maize
32,0,0,25.24,46.57,7.22107728,36.23,557.5098386,Maize
34,0,3,32.91,59.28,6.317200595,65.83,618.0738087,Maize
5,30,6,30.3,53.26,7.185538312,50.53,595.2488501,Maize
15,12,7,35.06,66.92,6.379892905,66.68,769.5027689,Maize
34,0,0,38.94,75.61,6.6875457,49.89,706.4064795,Maize
36,0,0,34.18,58.31,5.374957921,46.39,759.3103527,Maize
13,43,3,39.42,76.38,7.684630836,57.33,728.4582844,Maize
42,0,0,32.52,57.58,5.708318002,57.94,784.8581201,Maize
7,17,11,26.56,59.44,6.685057952,32.72,540.8577372,Maize
27,19,0,25.64,55.98,6.116820798,37.32,770.6317734,Maize
16,40,4,27.33,52.91,6.202427631,29.81,603.1300901,Maize
32,2,0,23.68,57.9,6.099250785,28.78,633.9678109,Maize
11,40,0,32.56,62.62,5.745393306,56.5,733.926076,Maize
10,6,4,31.1,60.2,6.753240826,37.11,781.6102279,Maize
35,3,0,26.97,51.74,5.683766461,34.74,770.1623095,Maize
14,35,0,34.75,70.91,6.262365937,33.64,780.8196632,Maize
33,0,1,32.02,56.24,6.125906888,36.81,686.482508,Maize
35,0,3,33.16,68.18,6.009531719,27.27,541.0188949,Maize
42,1,3,29.23,57.13,6.427215641,41.46,532.3321997,Maize
10,11,0,33.95,50.1,6.805721377,43.41,544.8590963,Maize
39,3,4,28.84,56.24,6.034972153,54.54,508.217891,Maize
36,0,1,23.5,49.68,7.823951286,31.29,608.1546598,Maize
5,28,8,30.35,64.59,6.933814259,65.36,698.1043929,Maize
17,10,18,21.61,58.34,6.354928192,25.13,660.7084268,Maize
38,0,0,31.62,53.17,6.901200935,41.08,635.5792456,Maize
24,27,0,32.08,71.52,8.257512282,31.79,535.589427,Maize
10,29,12,26.85,59.85,6.322715349,50.57,607.5598419,Maize
35,0,0,25.4,49.86,6.521427461,56.53,617.8942523,Maize
38,3,0,26.64,60.11,7.172689865,29.46,772.8672851,Maize
16,34,0,31.36,59.58,5.364834342,69.23,697.7706655,Maize
38,0,3,28.11,55.71,6.178306916,25.36,751.9098322,Maize
12,33,10,29.81,61.85,5.840625672,63.84,648.98372,Maize
5,27,7,32.64,67.85,7.297797902,32.04,748.874988,Maize
27,20,0,26.4,65.58,5.0951517,44.9,637.8479329,Maize
19,13,0,30.68,54.7,7.501411919,40.85,736.3813205,Maize
23,24,0,27.05,53.84,7.286922255,37.54,683.5777012,Maize
20,23,1,30.96,49.06,5.512220543,48.58,619.7578316,Maize
28,22,0,27.03,63.04,6.262172357,37.86,666.1692203,Maize
8,10,14,26.1,56.4,6.286768307,70,708.2429417,Maize
44,4,0,31.56,58.38,6.375160103,47.62,722.1877412,Maize
38,0,0,24.64,58.38,6.813962804,63.27,611.6347262,Maize
33,0,4,20.28,44.28,7.163238727,64.04,615.1646116,Maize
12,15,1,32.2,53.44,5.456443027,28.81,707.1470754,Maize
9,42,0,22.18,48.97,6.380613102,24.49,568.638436,Maize
11,11,15,21.63,57.62,5.259223821,34.24,747.3365061,Maize
14,34,0,33.55,59.39,5.9611755,30.38,646.0058647,Maize
13,41,0,34,59.76,7.372991168,27.52,729.0241005,Maize
36,0,2,29.88,57.23,6.172599757,30.93,658.8294615,Maize
24,24,0,30.88,66.31,6.60179206,38.96,556.0474986,Maize
37,0,0,26.86,48.06,4.797181306,41.76,616.422773,Maize
25,22,0,30.31,50.43,6.035652505,35.53,750.9409657,Maize
9,25,7,23.92,47.26,6.402035071,38.11,620.6376699,Maize
14,19,3,28.11,45.22,6.559264784,66.38,684.9407609,Maize
7,25,12,34.04,51.83,7.276219317,35.12,759.4111425,Maize
10,27,6,26.51,50.62,6.391664548,55.85,795.6885588,Maize
39,2,0,29.86,48.43,6.548152111,47.14,677.6298017,Maize
15,38,0,22.32,56.11,8.491263981,24.06,631.77463,Maize
40,1,2,31.99,47.84,6.990286954,39.57,674.6425186,Maize
13,33,6,33.44,67.72,6.525571445,40.98,768.6640761,Maize
12,13,0,33.97,49.49,6.611914796,35.62,676.2569205,Maize
8,18,17,27.03,63,6.411609349,44.8,552.3648705,Maize
13,35,9,31.25,69,5.876090329,50.68,728.8210257,Maize
14,37,0,26.32,63.21,5.980160197,69.24,539.3187581,Maize
11,18,9,30.43,70.25,5.626898202,53.78,710.6075742,Maize
4,15,14,21.73,48.03,4.683983631,43.37,617.3651091,Maize
40,0,0,27.79,54.72,6.99381051,69.39,509.7731539,Maize
23,23,3,30.71,61.75,6.507646025,42.85,721.6773735,Maize
15,31,4,25.88,42.06,6.61337283,48.59,590.817891,Maize
4,33,12,25.51,63.32,6.681094549,68.32,544.9977665,Maize
36,2,0,35.76,52.2,5.685751673,41.09,550.5266996,Maize
14,41,0,34.59,63.22,5.59876521,42.17,606.5066843,Maize
14,41,0,38.72,62.6,6.442156871,32.93,767.081645,Maize
20,19,0,37.57,63.17,6.841583678,70,605.2411118,Maize
9,17,17,27.56,50.27,6.890880409,33.38,658.8165097,Maize
42,0,3,29.23,70.7,4.652008659,54.12,776.1106678,Maize
10,21,17,29.9,50.37,6.826310299,36.94,542.5323542,Maize
18,28,4,28.89,56.51,6.666639622,48.61,642.1878833,Maize
10,8,4,23.85,54.74,8.333067221,31.15,575.6870106,Maize
17,11,0,30.91,69.94,4.982994323,41.75,574.3145251,Maize
14,13,18,38.94,72.08,6.759101047,57.52,723.8907678,Maize
21,24,0,22.82,48.25,6.769961383,49.55,578.5947403,Maize
42,0,4,25.3,58.41,7.431938929,32.96,782.308804,Maize
21,27,0,34.64,54.07,7.794041899,50.89,615.4324684,Maize
25,14,0,23.77,54.99,5.589908699,41.64,616.0825611,Maize
15,35,0,33.99,56.59,5.378861986,20.08,647.06284,Maize
26,18,0,34.33,54.12,5.808827662,42.26,701.1161504,Maize
38,0,2,34.18,74.74,5.949154495,50.05,671.1747356,Maize
9,35,13,32.75,63.09,6.173001673,59.4,788.2289826,Maize
14,38,0,33.33,67.32,6.886793827,54.05,598.0210342,Maize
7,46,0,26.59,52.55,4.585564914,41.35,689.3503485,Maize
18,17,4,22.5,42.27,6.060266685,32.46,564.9147119,Maize
15,8,3,22.92,45.66,6.390724751,20.23,500.0045283,Maize
36,4,0,21.7,53.27,6.272292724,56.56,599.0936725,Maize
23,20,3,28.67,68.13,6.821546974,40.26,686.8322368,Maize
7,9,0,38.22,70.16,6.70677177,57.22,680.4777033,Maize
12,34,2,29.89,60.28,6.840860756,35.37,588.2038698,Maize
40,4,2,36.38,70.01,7.160800865,60.43,737.2808174,Maize
10,31,3,26.46,63.95,4.855190611,63.21,775.9805006,Maize
40,4,0,27.21,57.02,5.968923732,67.38,519.862074,Maize
39,0,0,30.11,59.1,8.169597754,51.32,774.9822439,Maize
36,0,1,36.98,71.46,5.238052651,50.7,693.5010682,Maize
24,26,0,35.17,70.71,6.55274113,27.27,651.8069056,Maize
17,18,18,29.16,60.54,6.617770104,23.72,582.0347619,Maize
13,7,12,21.48,40.33,7.893167478,24.3,569.0662342,Maize
15,45,3,26.62,52.74,6.944212586,33.14,720.0812072,Maize
14,38,0,24.26,61.26,6.377815617,47.06,647.7808525,Maize
39,0,1,24.95,57.77,6.773251278,34.91,552.7381483,Maize
22,16,0,27.16,55.97,6.260269292,40.95,765.8636919,Maize
12,25,3,24.83,53.1,6.886526498,42.24,674.3383276,Maize
